Configuration,Location/Bldng_name,Seller Name,Area,Area type,Price (in L),Price Unit
5 BHK Residential Apartment in Nipania,Apollo DB City,DIVYA DEV DEVELOPERS PRIVATE LIMITED,"4,963 sq.ft",(461 sq.m.) Super built-up Area,? 2.00,03 C
5 Bedroom Independent House in AB Bypass Road,DLF Gardencity,nivesh ventures,"1,875-2,130",(174-198 sq.m.) Built-up Area,Price,e on
3 BHK Residential Apartment in Nipania,Apollo DB City,DIVYA DEV DEVELOPERS PRIVATE LIMITED,"1,982 sq.ft",(184 sq.m.) Super built-up Area,? 75.00,0.32
2 BHK Residential Apartment in Rajendra Nagar,Shrida Residency,Shrida Developers,"915-1,243 s",(85-115 sq.m.) Super built-up Area,? 27,  - 
4 BHK Residential Apartment in Keshar Bagh,Akruti Lal Bagh Life,Akruti Developers,"2,372-2,628",(220-244 sq.m.) Super built-up Area,Price,e on
3 BHK Residential Apartment in Rajendra Nagar,Shrida Residency,Shrida Developers,"1,243 sq.ft",(115 sq.m.) Super built-up Area,? 37.00,.2 L
2 BHK Residential Apartment in Bijalpur,Shri Sai Century Park,Shri Sai Buildcon,"1,173 sq.ft",(109 sq.m.) Super built-up Area,? 35.00,.5 L
3 BHK Residential Apartment in Bijalpur,Shri Sai Century Park,Shri Sai Buildcon,"1,543 sq.ft",(143 sq.m.) Super built-up Area,? 45.00,.5 L
1 BHK Residential Apartment in Bijalpur,Shri Sai Century Park,Shri Sai Buildcon,707 sq.ft. ,(66 sq.m.) Super built-up Area,? 21.00,.5 L
2 BHK Residential Apartment in Sukhliya,Mirchandani Shalimar Swayam,CORAL INFRASTRUCTURES PVT.LTD. (Mirchandani Group),985 sq.ft. ,(92 sq.m.) Super built-up Area,? 35, Lac
2 BHK Residential Apartment in Super Corridor,Shubham Nariman Enclave,Shubham Realty,"1,300 sq.ft",(121 sq.m.) Super built-up Area,? 36.00,.4 L
1 Bedroom Farm house in Shani Mandir Baigram,,individual consultant,"3,000 sq.ft",(279 sq.m.) Plot Area,? 8.90,97 L
1 BHK Residential Apartment in Nipania,SS Infinitus,S.S NIRMAN PRIVATE LIMITED,570 sq.ft. ,(53 sq.m.) Super built-up Area,? 17.00,0.67
5 BHK Residential Apartment in Nipania,SS Infinitus,S.S NIRMAN PRIVATE LIMITED,"3,817-3,879",(355-360 sq.m.) Super built-up Area,? 1.30,3  -
3 BHK Residential Apartment in Nipania,SS Infinitus,S.S NIRMAN PRIVATE LIMITED,"2,192-2,492",(204-232 sq.m.) Super built-up Area,? 85,  - 
Residential land / Plot in Nipania,SS Infinitus,S.S NIRMAN PRIVATE LIMITED,"1,295-2,400",(120-223 sq.m.) Plot Area,? 67.00,0.99
2 BHK Residential Apartment in Super Corridor,Vastu Siddhanta Niketan,Siddhanta Niketan,"1,113 sq.ft",(103 sq.m.) Super built-up Area,? 24.00,.5 L
4 BHK Residential Apartment in Nipania,Skye Luxuria,Skye Earth Developers Pvt. Ltd.,"4,850 sq.ft",(451 sq.m.) Super built-up Area,Price,e on
5 BHK Residential Apartment in Nipania,Skye Luxuria,Skye Earth Developers Pvt. Ltd.,"5,350 sq.ft",(497 sq.m.) Super built-up Area,Price,e on
Residential land / Plot in AB Bypass Road,Vistara Township,Expert Realty,"3,875 sq.ft",(360 sq.m.) Plot Area,? 87.00,0.18
2 BHK Residential Apartment in Rau,Kalani Treasure Fantasy,Wanderland Real Estates Pvt. Ltd.,900 sq.ft. ,(84 sq.m.) Super built-up Area,? 25, Lac
Residential land / Plot in Shubhangan,Omaxe City 1,Upendra Kumar Sharma,807 sq.ft. ,(75 sq.m.) Plot Area,? 18, Lac
