Configuration,Location/Bldng_name,Seller Name,Area,Area type,Price (in L),Price Unit
3 BHK Residential Apartment in Mahalakshmi Nagar,Naman Nariman Point,Space Matrix Realties,"1,150 sq.ft",(107 sq.m.) Carpet Area,? 31, Lac
5 BHK Residential Apartment in Nipania,Skye Luxuria,Space Matrix Realties,"4,000 sq.ft",(372 sq.m.) Super built-up Area,? 2.80,8 Cr
Residential land / Plot in Jaora Compound,,Space Matrix Realties,"2,400 sq.ft",(223 sq.m.) Plot Area,? 3.20,24 C
Residential land / Plot in Mayakhedi,Omaxe City 1,Sachin Jadhav & Associates,807 sq.ft. ,(75 sq.m.) Plot Area,? 16.00,.7 L
Residential land / Plot in Mayakhedi,Omaxe City 1,Sachin Jadhav & Associates,807 sq.ft. ,(75 sq.m.) Plot Area,? 17.00,.3 L
3 Bedroom Independent House in Talawali Chanda,Sarthak Singapore Green View Galaxy,Anil Singh,"1,000 sq.ft",(93 sq.m.) Plot Area,? 62, Lac
3 BHK Residential Apartment in Mahalakshmi Nagar,Balaji Heights,NEO PROPERTY,"1,490 sq.ft",(138 sq.m.) Super built-up Area,? 60, Lac
Residential land / Plot in Bada Bangarda,Millennium icon,Reliable Realty,800 sq.ft. ,(74 sq.m.) Plot Area,? 15.00,.2 L
3 Bedroom Independent House in Ring Road,,Space Matrix Realties,900 sq.ft. ,(84 sq.m.) Plot Area,? 85, Lac
Residential land / Plot in Opposite Bombay Hospital,Mayuri Park,Reliable Realty,"1,500 sq.ft",(139 sq.m.) Plot Area,? 76.00,.5 L
Residential land / Plot in Panchderiya,Millennium Town,Reliable Realty,600 sq.ft. ,(56 sq.m.) Plot Area,? 9.30,3 La
Residential land / Plot in Panchderiya,Millennium Town,Reliable Realty,"1,500 sq.ft",(139 sq.m.) Plot Area,? 23.00,0.25
1 BHK Residential Apartment in Nipania,Akash Height,Samadhan Real Estate,402 sq.ft. ,(37 sq.m.) Super built-up Area,? 11.00,.2 L
1 BHK Residential Apartment in Nipania,Akash Height,Samadhan Real Estate,490 sq.ft. ,(46 sq.m.) Super built-up Area,? 13.00,0.51
3 BHK Residential Apartment in Mahalakshmi Nagar,Naman Nariman Point,Space Matrix Realties,"1,250 sq.ft",(116 sq.m.) Super built-up Area,? 30, Lac
3 Bedroom Independent House in Nipania,,Space Matrix Realties,865 sq.ft. ,(80 sq.m.) Plot Area,? 67, Lac
6 Bedroom Independent House in Anurag Nagar,,Space Matrix Realties,"1,500 sq.ft",(139 sq.m.) Plot Area,? 1.50,5 Cr
4 Bedroom Independent House in Hare Krishna Vihar,,Space Matrix Realties,"1,800 sq.ft",(167 sq.m.) Plot Area,? 1.70,7 Cr
Residential land / Plot in Mayakhedi,Omaxe City 1,Sachin Jadhav & Associates,807 sq.ft. ,(75 sq.m.) Plot Area,? 17, Lac
3 Bedroom Independent House in AB Bypass Road,Omaxe City 1  AB Bypass Road,Ashish Barjatya Associates,"1,950 sq.ft",(181 sq.m.) Built-up Area,? 70, Lac
Residential land / Plot in AB Bypass Road,Sanjivani,Thakur Construction,"1,500 sq.ft",(139 sq.m.) Plot Area,? 13.00,.2 L
Residential land / Plot in Jhalaria,Girnar Ji,SS Property,"1,500 sq.ft",(139 sq.m.) Plot Area,? 19.00,0.51
4 Bedroom Independent House in Vasant Vihar,,Avni Realty,"1,000 sq.ft",(93 sq.m.) Plot Area,? 1.50,5 Cr
Residential land / Plot in Super Corridor,Millennium icon,Reliable Realty,525 sq.ft. ,(49 sq.m.) Plot Area,? 9.90,98 L
Residential land / Plot in Super Corridor,Millennium icon,Reliable Realty,600 sq.ft. ,(56 sq.m.) Plot Area,? 11.00,.4 L
Residential land / Plot in Mayakhedi,Omaxe City 1,Sachin Jadhav & Associates,807 sq.ft. ,(75 sq.m.) Plot Area,? 16.00,0.85
Residential land / Plot in Ujjain Road,Sakaar Hills,Thakur Construction,"3,750 sq.ft",(348 sq.m.) Plot Area,? 24, Lac
4 Bedroom Independent House in Vasant Vihar,,Avni Realty,"1,000 sq.ft",(93 sq.m.) Plot Area,? 1.50,5 Cr
3 Bedroom Independent House in Mahalakshmi Nagar,,Avni Realty,"1,000 sq.ft",(93 sq.m.) Plot Area,? 85, Lac
Residential land / Plot in Kanadiya,Apollo Golf Links,Samadhan Real Estate,"2,800 sq.ft",(260 sq.m.) Plot Area,? 84, Lac
Residential land / Plot in Rau Road,Sanskruti Royal City,Samadhan Real Estate,500 sq.ft. ,(46 sq.m.) Plot Area,? 7.50,5 La
1 BHK Residential Apartment in Nipania,Akash Height,Samadhan Real Estate,402 sq.ft. ,(37 sq.m.) Super built-up Area,? 11.00,.2 L
Residential land / Plot in AB Bypass Road,"DLF Garden City, Indore",RealtyONE,"1,264 sq.ft",(117 sq.m.) Plot Area,? 17.00,0.06
Residential land / Plot in AB Bypass Road,,Affordable Housing,"1,150 sq.ft",(107 sq.m.) Plot Area,? 18.00,0.98
3 BHK Residential Apartment in Bicholi Mardana,M Chugh Grande Exotica,Space Matrix Realties,"2,491 sq.ft",(231 sq.m.) Super built-up Area,? 1.50,5 Cr
1 Bedroom Independent House in Rau,Pushpa Sanskruti Royal City,Samadhan Real Estate,500 sq.ft. ,(46 sq.m.) Plot Area,? 15, Lac
"Residential land / Plot in Opposite Bombay Hospital, Ring Road",Mayuri Park,Reliable Realty,"1,200 sq.ft",(111 sq.m.) Plot Area,? 61.00,.2 L
1 BHK Residential Apartment in Super Corridor,Earthshastra Nariman City,H M REALTY,553 sq.ft. ,(51 sq.m.) Super built-up Area,? 12.00,.5 L
Residential land / Plot in Mayakhedi,Omaxe City 1,Aarambh Realty,"1,000 sq.ft",(93 sq.m.) Plot Area,? 23, Lac
Residential land / Plot in AB Bypass Road,Omaxe City 2 AB Bypass Road,Aarambh Realty,"3,600 sq.ft",(334 sq.m.) Plot Area,? 55, Lac
Residential land / Plot in Manglia,Omaxe City 2 Indore,Aarambh Realty,"3,100 sq.ft",(288 sq.m.) Plot Area,? 50, Lac
Residential land / Plot in Manglia,"Omaxe City 2, Indore",Aarambh Realty,"4,300 sq.ft",(399 sq.m.) Plot Area,? 64, Lac
3 BHK Residential Apartment in South Tukoganj,Gold Petal,Reality Grills,"2,150 sq.ft",(200 sq.m.) Super built-up Area,? 1.10,15 C
Residential land / Plot in AB Bypass Road,"DLF Garden City, Indore",RealtyONE,"1,264 sq.ft",(117 sq.m.) Plot Area,? 16, Lac
3 Bedroom Independent House in Nipania,SAMAR PARK ,Space Matrix Realties,750 sq.ft. ,(70 sq.m.) Plot Area,? 56.00,.5 L
Residential land / Plot in Mayakhedi,Omaxe City 1,Earth Realty,990 sq.ft. ,(92 sq.m.) Plot Area,? 23.00,.5 L
2 BHK Residential Apartment in Mayakhedi,Residential Apartment,Aarambh Realty,900 sq.ft. ,(84 sq.m.) Super built-up Area,? 18, Lac
Residential land / Plot in Mayakhedi,Omaxe City 1,Aarambh Realty,807 sq.ft. ,(75 sq.m.) Plot Area,? 14, Lac
2 BHK Residential Apartment in MR 11,SS infinity,Yukti Dreams Reality & Construction,"1,140 sq.ft",(106 sq.m.) Super built-up Area,? 38, Lac
Residential land / Plot in Puspratan Park,Puspratan Park,Yukti Dreams Reality & Construction,750 sq.ft. ,(70 sq.m.) Plot Area,? 21, Lac
Residential land / Plot in Kalindi Pride,,Yukti Dreams Reality & Construction,"1,240 sq.ft",(115 sq.m.) Plot Area,? 44, Lac
Residential land / Plot in Mayakhedi,Omaxe City 1,Sachin Jadhav & Associates,443 sq.ft. ,(41 sq.m.) Plot Area,?9 L,Lac₹
3 Bedroom Independent House in Nipania,Amrit Palace,Space Matrix Realties,750 sq.ft. ,(70 sq.m.) Plot Area,? 55, Lac
Residential land / Plot in AB Bypass Road,Ruchi Lifescapes,Mukesh Patil,"2,322 sq.ft",(216 sq.m.) Plot Area,? 41.00,0.79
2 Bedroom Independent House in Malwa Mill,,Abhinav Singh,"2,642 sq.ft",(245 sq.m.) Plot Area,? 1.80,82 C
2 BHK Residential Apartment in Morod,Highway New York City,Mohit Khandelwal,940 sq.ft. ,(87 sq.m.) Carpet Area,? 17, Lac
Residential land / Plot in Royal Residency,,Gopal,"2,100 sq.ft",(195 sq.m.) Plot Area,? 1.80,89 C
Residential land / Plot in Rau Pitampur Road,,Y Tyagi,"1,500 sq.ft",(139 sq.m.) Plot Area,? 58, Lac
Residential land / Plot in Mitra Bandhu Nagar,,Sameer Qureshi,650 sq.ft. ,(60 sq.m.) Plot Area,? 27.00,.3 L
4 Bedroom Independent House in Khajrana,Goyal Vihar Avenue,Aditya Gadgil,"1,500 sq.ft",(139 sq.m.) Plot Area,? 1.00,05 C
2 BHK Residential Apartment in Bijalpur,Shubham Residency,Prateek Mishra,"1,094 sq.ft",(102 sq.m.) Super built-up Area,? 35, Lac
Residential land / Plot in AB Bypass Road,DLF Gardencity Phase II,O  P Tiwari,"2,402 sq.ft",(223 sq.m.) Plot Area,? 39, Lac
Residential land / Plot in Bicholi Mardana,Singapore residency,User,"2,840 sq.ft",(264 sq.m.) Plot Area,? 1.50,56 C
Residential land / Plot in super corridore,ace City,prashant achhaniya,"5,800 sq.ft",(539 sq.m.) Plot Area,? 1.30,38 C
Residential land / Plot in Khandwa Road,Vatsalya Shiv Residency 1,T. ashish,"5,250 sq.ft",(488 sq.m.) Plot Area,? 40, Lac
Residential land / Plot in Chhota Bangarda,Space Sanskruti Corridor,Shubham Dubey,"1,100 sq.ft",(102 sq.m.) Plot Area,? 30.00,.8 L
Residential land / Plot in Mayakhedi,Omaxe Annex,Vivek,"2,726 sq.ft",(253 sq.m.) Plot Area,? 67.00,.5 L
2 BHK Residential Apartment in Anand Bazaar,Sneh Corner,Aalhad Deshpande,865 sq.ft. ,(80 sq.m.) Super built-up Area,? 37, Lac
5 Bedroom Independent House in Amitesh nagar,,karan bhatia,"5,000 sq.ft",(465 sq.m.) Plot Area,? 3.50,5 Cr
2 BHK Residential Apartment in Airport Road,Naad Shri Ramkamal Residency,Apurv,"1,110 sq.ft",(103 sq.m.) Super built-up Area,? 43.00,.5 L
3 BHK Residential Apartment in Brijeshwari Annexe,Mahveer Avenue,Ravi Gandhi,"1,256 sq.ft",(117 sq.m.) Super built-up Area,? 48, Lac
3 BHK Independent Builder Floor in Niranjanpur,,Amit Parmar,"1,896 sq.ft",(176 sq.m.) Built-up Area,? 60, Lac
4 Bedroom Independent House in Sukhliya,,Arshaan,800 sq.ft. ,(74 sq.m.) Plot Area,? 75, Lac
2 BHK Residential Apartment in Mahalakshmi Nagar,Nishdin Aura,sajit sathyadevan,"1,074 sq.ft",(100 sq.m.) Built-up Area,? 42, Lac
2 BHK Residential Apartment in madhuban colony,sukhdham appartment,meenal sharma,"1,000 sq.ft",(93 sq.m.) Super built-up Area,? 40, Lac
2 BHK Residential Apartment in Ek No,Bapat square,Manish,900 sq.ft. ,(84 sq.m.) Built-up Area,? 54, Lac
2 BHK Independent Builder Floor in Biyabani,,Bhavna porwal,850 sq.ft. ,(79 sq.m.) Built-up Area,? 25, Lac
1 BHK Residential Apartment in Lasuriya Mori,Singapur Nest,Mayur,550 sq.ft. ,(51 sq.m.) Super built-up Area,? 12, Lac
Residential land / Plot in C-25 shree vidhya palace aerodrome road indore madhya pradesh,,Pawan,"2,100 sq.ft",(195 sq.m.) Plot Area,? 73.00,0.51
"2 BHK Residential Apartment in Rani Sate, Y.N. Road",Gokul Apartment,Paresh Chordia,870 sq.ft. ,(81 sq.m.) Carpet Area,? 45, Lac
2 BHK Residential Apartment in Bicholi Mardana,Raj Shreeji Heights,Vivek,860 sq.ft. ,(80 sq.m.) Super built-up Area,? 21, Lac
2 BHK Residential Apartment in Sukhliya,Pranaam Sai Residency,Priyanka Patil,"1,119 sq.ft",(104 sq.m.) Carpet Area,? 36, Lac
Residential land / Plot in Indore super corridore,Singapur life style premium,Mayuri Makasare,"1,500 sq.ft",(139 sq.m.) Plot Area,? 29.00,0.25
2 BHK Residential Apartment in Talawali Chanda,Sarthak Singapore Green View Galaxy,Shailesh,"1,037 sq.ft",(96 sq.m.) Super built-up Area,? 23.00,.5 L
4 Bedroom Independent House in Bangali Square,,Moom Ji,"1,300 sq.ft",(121 sq.m.) Plot Area,? 1.60,65 C
2 BHK Residential Apartment in Sukhliya,Mirchandani Shalimar Swayam,Anand Gautam,985 sq.ft. ,(92 sq.m.) Super built-up Area,? 34, Lac
Residential land / Plot in Chhota Bangarda,Ideal Paramount City,Anuj Swarnkar,"1,560 sq.ft",(145 sq.m.) Plot Area,? 35.00,.1 L
2 Bedroom Independent House in Shyam Nagar,,Abhishek Mudgal,850 sq.ft. ,(79 sq.m.) Built-up Area,? 40, Lac
Residential land / Plot in Mayakhedi,Omaxe City 1,R. C. Rathore,"1,672 sq.ft",(155 sq.m.) Plot Area,? 41.00,0.51
2 Bedroom Independent House in Suvidhi Nagar,SaketDham Colony,Dagubai Choudhary,600 sq.ft. ,(56 sq.m.) Plot Area,? 48, Lac
3 Bedroom Independent House in Dhanvantri Nagar,Dhanwantarinagar,Chandrakant Gandhe,"1,500 sq.ft",(139 sq.m.) Plot Area,? 98, Lac
Residential land / Plot in Khandwa Road,Family Farms,Sandeep Nagar,"5,000 sq.ft",(465 sq.m.) Plot Area,Price,e on
2 BHK Residential Apartment in Bangali Square,Shehnai Residency 2,Manish Koranne,"1,000 sq.ft",(93 sq.m.) Super built-up Area,? 30, Lac
Residential land / Plot in Manglaya Sadak,,dharmendra,800 sq.ft. ,(74 sq.m.) Plot Area,? 10.00,.4 L
2 BHK Independent Builder Floor in Ahilya Pura,,Ujjawal,770 sq.ft. ,(72 sq.m.) Super built-up Area,? 34, Lac
2 BHK Residential Apartment in Dewas Naka(Panchvati),IBD Indus Satellite Greens,Rajesh Kumar,850 sq.ft. ,(79 sq.m.) Built-up Area,? 18, Lac
4 Bedroom Independent House in Dewas Naka(Panchvati),,Aman Jain,750 sq.ft. ,(70 sq.m.) Plot Area,? 49.00,.5 L
3 Bedroom Independent House in Limbodi,Brijnayani,Pawan Khatwani,"1,500 sq.ft",(139 sq.m.) Plot Area,? 1.10,1 Cr
2 BHK Residential Apartment in Sukhliya,Mirchandani Shalimar Swayam,Rahul Singhai,980 sq.ft. ,(91 sq.m.) Super built-up Area,? 31, Lac
1 BHK Independent Builder Floor in Sanchar Nagar,,Sajal jain,650 sq.ft. ,(60 sq.m.) Built-up Area,? 19, Lac
Residential land / Plot in Sanver,Millennium City,Golu Panwar,"1,000 sq.ft",(93 sq.m.) Plot Area,? 9.50,5 La
2 BHK Independent Builder Floor in AB Bypass Road,Omaxe City 2 AB Bypass Road,NARAYAN KUMAR,"1,480 sq.ft",(138 sq.m.) Super built-up Area,? 42, Lac
3 BHK Independent Builder Floor in Singaport Township,Sarthak Groop,Atul  Gupta,"2,500 sq.ft",(232 sq.m.) Super built-up Area,? 55, Lac
Residential land / Plot in Ida Scheme No-140,,Pankaj Chaturvedi,600 sq.ft. ,(56 sq.m.) Plot Area,? 55, Lac
1 BHK Residential Apartment in Kanadia Road,Highway Karuna Sagar,Rajesh aswar,550 sq.ft. ,(51 sq.m.) Super built-up Area,? 11, Lac
2 BHK Residential Apartment in Khajrana,Shubh Labh Tower,Rakesh,"1,216 sq.ft",(113 sq.m.) Super built-up Area,? 33, Lac
2 BHK Residential Apartment in Old Palasia,Barwani Plaza,C P Sharma,"1,800 sq.ft",(167 sq.m.) Super built-up Area,? 45, Lac
3 Bedroom Independent House in Sai Kripa Colony,,Pathrikar Nand,"1,000 sq.ft",(93 sq.m.) Plot Area,? 1.10,1 Cr
2 BHK Independent Builder Floor in Limbodi,,ROHIT SINGH CHOUHAN,871 sq.ft. ,(81 sq.m.) Built-up Area,? 14.00,.5 L
Residential land / Plot in Nipania,Nirvaana Vihar,Ashish,"1,300 sq.ft",(121 sq.m.) Plot Area,? 23.00,0.28
4 Bedroom Independent House in swami dayanand nagar,"swami dayanand nagar, manik bagh road",Prabhat,"1,000 sq.ft",(93 sq.m.) Plot Area,? 1.30,3 Cr
4 Bedroom Independent House in Dhanwantri Nagar,,Rajani Singh,"1,500 sq.ft",(139 sq.m.) Plot Area,? 1.50,5 Cr
1 BHK Independent Builder Floor in Pagnis Paga,,Rishi Tokkar,240 sq.ft. ,(22 sq.m.) Built-up Area,? 45, Lac
2 BHK Residential Apartment in Bicholi Mardana,Sanghavi Residency,Gitesh Jaggi,"1,007 sq.ft",(94 sq.m.) Super built-up Area,Price,e on
2 BHK Residential Apartment in Bicholi Mardana,Sanghavi Residency,Gitesh Jaggi,"1,007 sq.ft",(94 sq.m.) Super built-up Area,? 28, Lac
3 Bedroom Independent House in Usha Nagar Extension,,MAYUR CHOUDHARY,700 sq.ft. ,(65 sq.m.) Plot Area,?1 C,Cr?
